,DXT_200,FDM_200,SDM_200,DXT_400,FDM_400,SDM_400,DXT_600,FDM_600,SDM_600,SED_AVE,SED_STD,SED_GRD,V_UP,V_TN,AGE,FRE_DG_AVE,FRE_DG_STD,EGR_DG_AVE,EGR_DG_STD,SRO_DG_AVE,SRO_DG_STD,IRO_DG_AVE,IRO_DG_STD,LRO_DG_AVE,LRO_DG_STD,CRD_UP_AVE,CRD_UP_STD,CRS_UP_AVE,CRS_UP_STD,CRM_UP_AVE,CRM_UP_STD,FRE_UP_AVE,FRE_UP_STD,EGO_UP_AVE,EGO_UP_STD,EGO_L_UP_AVE,EGO_L_UP_STD,EGO_SL_UP_AVE,EGO_SL_UP_STD,EGO_UM_UP_AVE,EGO_UM_UP_STD,EGR_UP_AVE,EGR_UP_STD,EGR_BG_UP_AVE,EGR_BG_UP_STD,INV_UP_AVE,INV_UP_STD,DLT_UP_AVE,DLT_UP_STD,MR_GCMT
20,551.0254,0.1363739091117793,0.0016503114948663,563.6832,0.0508796668392466,0.0002718117621032,574.7834,0.0463462488246012,0.0003571223479568,141.84375512603128,42.970999382716194,0.0001054074331856,-76.9,-43.3,149.6,-169.9220615892,17.025550504,-11.5687798324,56.8842985409,189.2450943396,41.5081222463,1236.7954716981,538.0374498512,760.3664779874,352.5472968816,3.3149e-06,7.903e-07,-2.265e-07,3.24e-07,1.2803e-06,5.466e-07,-33.3540364127,76.0015633304,39.2569210471,5.8946211874,-3.3004028694,3.9977747992,-4.1515800553,4.9199427935,-2.5981257784,4.9037189671,-31.9205208493,73.6107469435,235.7362397357,43.0660276666,174.3486965261,208.8016938635,-174.9343743589,209.5000199886,5.3
21,566.5284,0.1614116897057758,0.0004550387521001,569.1357,0.0571679044006012,0.000210225748825,578.94,0.0378928113838551,0.0003159087844575,144.35383418153847,38.63773566813989,2.5100790555071805e-05,-69.8,-37.5,147.5,-123.9317489269,22.9703899192,-3.2176252709,43.935489379,188.1407643312,55.3141318894,1385.8542038217,549.0304648772,713.3796815287,327.805200682,3.4229e-06,3.082e-07,-3.916e-07,4.909e-07,1.2252e-06,2.311e-07,-29.6867699646,64.2948432186,38.9117254157,5.5379198036,-3.1660941663,3.4788927813,-4.3164864969,4.4600971958,-2.4680597824,4.4198582897,-34.4107391172,63.3374083813,222.6515653912,46.3312608649,165.6978788843,201.2351678234,-166.6131446488,202.3589316702,5.6
22,582.2776,0.1449158631593416,0.0015044877864518,575.1063,0.0610114806781665,7.478108056111883e-05,582.3064,0.0304102829961244,0.0002799202755494,116.09232107312307,10.091472503731245,0.0002826151310841,-69.8,-37.5,147.5,-65.1522560503,42.0478238591,-1.8783080807,40.5512683108,147.2124836601,59.1641104698,1778.1376470588,839.7565696142,1181.6558823529,571.6711378474,3.615e-06,4.87e-07,-6.585e-07,4.965e-07,1.2986e-06,3.694e-07,-30.6194418353,50.4777451567,38.8137355169,4.8988754276,-2.7631710629,2.8453784119,-4.2622305036,3.8234537281,-2.2286855216,3.8935386739,-27.8347014215,45.8880183579,204.288155365,30.9352373789,151.7411198948,203.5250543157,-151.5414062515,203.3348319065,5.8
23,594.3462,0.0958945224498641,0.0023367244278419,581.2583,0.0609268447283024,0.0001022172353867,584.9725,0.0237744787611748,0.0002484533648593,120.21538426326154,7.818109740881146,4.123063190138471e-05,-69.8,-37.5,147.5,-90.923386843,47.0120714855,-21.4185489114,53.6363544034,194.1252229299,80.3740928139,2081.9085350318,521.8529736751,1975.2692993631,466.4623198757,3.8971e-06,1.099e-06,-5.043e-07,4.776e-07,1.8614e-06,7.585e-07,-28.8595040229,59.3022083037,38.4541310751,5.0328233966,-2.493787374,2.9339837337,-4.3812427107,3.8772518337,-2.0135958703,3.8511328172,-29.016581982,59.6563437088,225.9736369144,32.0153480717,172.9848583606,238.8133214725,-168.1648648185,232.1399258422,6.1
24,600.6723,0.0372541370889431,0.002193309990693,587.1541,0.0562963462155379,0.0002851002765011,587.0172,0.0178852112732221,0.0002203141908381,124.21212652957574,6.425602758627503,3.9967422663141904e-05,-69.8,-37.5,147.5,-12.4428463404,48.7068929989,43.5372754047,79.2674204451,260.1241558442,80.5751721589,2982.0414935065,364.030022461,2630.4694155844,285.7830649905,4.0103e-06,1.5874e-06,-1.06e-07,2.84e-07,2.0194e-06,9.28e-07,-24.8959916419,60.8533841658,38.4322714334,5.2457815987,-2.0272533861,3.1268335859,-4.2462716969,4.0517594983,-1.7554708664,4.048684595,-26.0812458573,57.8752075302,222.810242873,31.3030374931,158.4976439331,231.0194589817,-146.2787610222,214.956616075,1.0
25,601.5826,0.0117860246426971,0.0013731226825048,592.3392,0.0472794297935654,0.0004472084214569,588.5109,0.0126740297218834,0.0001942021954122,126.7031315565,5.832774587353263,2.4910050269242728e-05,-69.8,-37.5,147.5,-61.7811923668,53.4192662375,-4.8621618336,55.3690771171,229.4817567568,29.7833373676,2261.5434459459,665.8844059369,2009.1147297297,526.0463869915,3.9746e-06,1.7361e-06,7.9e-08,1.331e-07,2.0104e-06,9.243e-07,-38.52932673,71.367412371,38.3645453604,5.7803552052,-1.7082194669,3.6430028067,-4.2069143877,4.5402700318,-1.4760648607,4.5843513814,-37.3493999105,70.8742139685,220.0195518092,32.8667759565,153.4661564418,216.2965375251,-148.7718311855,209.6990086661,5.9
26,599.0785,0.0320835657620171,0.0003717389507328,596.4103,0.0346270433805231,0.00056950377532,589.519,0.0081034842950549,0.0001689938410604,129.07462105820892,6.230192074736237,2.371489501708901e-05,-45.6,-29.6,146.6,17.8771575622,80.613453422,23.5714914513,65.8866160836,223.0389864865,51.0324996838,2111.5118918919,1240.2415647405,1700.1489189189,1064.8503611567,3.9071e-06,1.6893e-06,1.888e-07,1.472e-07,2.2213e-06,9.243e-07,-6.2377671809,58.0647151047,39.0784395096,5.4805186486,-0.4995324039,3.3575518399,-3.3133115715,4.194850342,-0.5983987879,4.3802768331,-6.513453793,56.1682201534,213.5725586263,35.6070457534,149.5982510448,238.6987766599,-134.3881357945,217.0844716877,5.0
27,595.6641,0.0310120870746526,0.0004716619947855,599.0627,0.0194752616624746,0.0006407667600583,590.1046,0.0041604489652021,0.0001439253929553,129.97014139656716,6.219777571709312,8.955203383582411e-06,-45.6,-29.6,146.6,-38.0350644106,58.2970788216,1.0194357743,46.6919149167,219.8792948718,31.5739508243,1236.8348717949,519.6076129003,896.3493589744,517.6277761189,3.7042e-06,1.5623e-06,3.187e-07,2.231e-07,2.2002e-06,9.04e-07,-4.867870728,64.3463624054,39.0623191879,5.7172303716,-0.037301809,3.6228179628,-3.1317405098,4.3831862989,-0.1687941085,4.4691087192,-4.4519645386,64.0306574167,215.5002944583,34.7189276569,122.6062825234,188.9286167668,-108.6014848341,169.0151410409,6.0
28,593.3893,0.0134184564683036,0.0009036763865592,600.1186,0.0047515234824343,0.0006559018209403,590.3304,0.0009830941991849,0.0001186967959715,129.31429279867143,5.738453861383644,6.558485978957196e-06,-45.6,-29.6,146.6,-17.3350795419,61.5567692364,8.4819668709,54.3609260945,224.2272727273,66.5799123627,1945.7161688312,595.0747811941,1021.2702597403,290.589018207,3.5663e-06,1.4549e-06,2.749e-07,1.684e-07,1.8097e-06,7.894e-07,-0.3241757382,75.7950461973,38.6571886323,6.1573097411,-0.0733782995,4.1034997332,-3.390616071,4.8136989122,-0.5316439354,4.9225041287,-1.4248562965,75.2376708697,222.3846886374,31.4380416504,118.8502360798,184.6046393831,-110.6302588922,171.9165793076,1.0
29,593.3252,0.009721364534514,0.0008439470661617,599.5405,0.012876245099445,0.0006142060629734,590.2594,0.0018376648302711,9.351587575277488e-05,127.21211994054543,5.46479922906413,2.102172858126e-05,-45.6,-29.6,146.6,-18.2957953565,52.7898866667,-2.3221063699,50.2902526185,174.9320945946,115.9706170047,1441.3121621622,854.3465136769,883.4280405405,453.9520397317,3.656e-06,1.357e-06,6.26e-08,1.18e-07,1.5549e-06,6.61e-07,-5.045329664,69.2589300614,38.7984334884,6.6012719958,-0.064196278,4.423993506,-3.3922427361,5.1923046619,-0.4274155985,5.4806239491,-3.2848703451,67.3056841846,233.7974740305,27.8554935834,99.7068930848,175.3569000841,-81.5263271487,145.0909093605,5.2
30,595.3198,0.0252491905840602,0.0003012249725024,597.4321,0.0272581318498983,0.0005180879213662,589.9546,0.0038981402305699,6.90842440626016e-05,123.38236539499998,4.838662639479764,3.829754545545447e-05,-45.6,-29.6,146.6,-10.3302529221,53.8186160651,-6.4136711676,50.7759496409,106.3820261438,86.7906158775,595.1348366013,563.343995908,434.6616339869,374.261458903,3.7999e-06,1.3009e-06,-1.776e-07,1.798e-07,1.6681e-06,6.391e-07,-20.1152944174,90.9497215886,37.5370381533,7.5279315971,-1.0886433398,5.3553596295,-4.5417523188,6.0898568305,-1.5440155763,6.3035149374,-21.7045829977,90.9274807597,245.110476651,32.1381471853,101.2623717132,163.6928597581,-73.9628025851,119.6937798638,5.5
31,597.9611,0.0219869333218963,0.0006655810553118,594.0334,0.0386683295037265,0.0003726044125133,589.477,0.0053662570903342,4.65322165181722e-05,118.00000145863235,4.777399127999011,5.382363936367637e-05,-45.6,-29.6,146.6,-4.2627017391,50.7722587181,-4.1600014891,50.9865702643,62.1880124224,36.3407028414,231.2657142857,140.5434906704,166.0870186335,148.7203984382,3.9283e-06,1.3008e-06,-2.798e-07,3.993e-07,1.7205e-06,5.883e-07,-28.2811897232,108.2386454091,36.548773866,7.9945054219,-1.9878829326,5.8871106623,-5.49015246,6.5840976622,-2.5793927064,6.8431419141,-28.871529369,107.3655498234,244.6797738327,28.720377404,109.4583810877,195.9041831103,-65.5323500457,120.7108680508,5.5
